時間,ひずみ電圧[1mm],先端の変位[1mm],ひずみ電圧[0.8mm],先端の変位[0.8mm],トルク[ノイズカット]
0.368,-3.140564,-0.103010499,-4.528198,-0.185656118,0.8582145
0.37,-3.085632,-0.10120873,-4.508057,-0.184830337,0.8465568
0.372,-3.02124,-0.099096672,-4.385071,-0.179787911,0.8597689
0.374,-2.990112,-0.098075674,-4.475098,-0.183479018,0.87395245
0.376,-2.921448,-0.095823494,-4.450378,-0.182465498,0.888136
0.378,-2.883301,-0.094572273,-4.431763,-0.181702283,0.830090288
0.38,-2.836304,-0.093030771,-4.399414,-0.180375974,0.772044575
0.382,-2.774658,-0.091008782,-4.390869,-0.180025629,0.7198763
0.384,-2.74231,-0.089947768,-4.380493,-0.179600213,0.757181
0.386,-2.681885,-0.087965828,-4.361877,-0.178836957,0.7944857
0.388,-2.644958,-0.086754622,-4.323425,-0.177260425,0.7851595
0.39,-2.590332,-0.08496289,-4.300537,-0.176322017,0.8356763
0.392,-2.576294,-0.084502443,-4.270325,-0.175083325,0.79176555
0.394,-2.4823,-0.08141944,-4.206848,-0.172480768,0.7478548
0.396,-2.433167,-0.079807878,-4.123535,-0.169064935,0.6965609
0.398,-2.372742,-0.077825938,-4.105835,-0.168339235,0.6872347
0.4,-2.30957,-0.075753896,-4.051819,-0.166124579,0.6779085
0.402,-2.237244,-0.073381603,-3.998413,-0.163934933,0.6814058
0.404,-2.214966,-0.072650885,-3.980408,-0.163196728,0.6681938
0.406,-2.177124,-0.071409667,-3.896179,-0.159743339,0.6565361
0.408,-2.040405,-0.066925284,-3.83667,-0.15730347,0.673634
0.41,-1.981812,-0.065003434,-3.786011,-0.155226451,0.6341921
0.412,-1.893616,-0.062110605,-3.725586,-0.152749026,0.5947502
0.414,-1.800537,-0.059057614,-3.662109,-0.150146469,0.5689089
0.416,-1.756287,-0.057606214,-3.594666,-0.147381306,0.5430676
0.418,-1.665955,-0.054643324,-3.527527,-0.144628607,0.4948824
0.42,-1.5802,-0.05183056,-3.457336,-0.141750776,0.5092603
0.422,-1.480103,-0.048547378,-3.390198,-0.138998118,0.4704012
0.424,-1.397705,-0.045844724,-3.377991,-0.138497631,0.4529146
0.426,-1.320801,-0.043322273,-3.262939,-0.133780499,0.4766187
0.428,-1.239319,-0.040649663,-3.196411,-0.131052851,0.447863
0.43,-1.139832,-0.03738649,-3.126526,-0.128187566,0.452331775
0.432,-1.045532,-0.03429345,-3.053894,-0.125209654,0.45680055
0.434,-0.9790039,-0.032111328,-2.976379,-0.122031539,0.406672375
0.436,-0.8651733,-0.028377684,-2.901306,-0.118953546,0.3565442
0.438,-0.7785034,-0.025534912,-2.818604,-0.115562764,0.3357546
0.44,-0.6997681,-0.022952394,-2.740784,-0.112372144,0.314965
0.442,-0.5984497,-0.01962915,-2.661438,-0.109118958,0.276106
0.444,-0.5130005,-0.016826416,-2.58606,-0.10602846,0.2889294
0.446,-0.4251099,-0.013943605,-2.500305,-0.102512505,0.27202575
0.448,-0.3384399,-0.011100829,-2.436218,-0.099884938,0.2551221
0.45,-0.2597046,-0.008518311,-2.364197,-0.096932077,0.2131543
0.452,-0.1690674,-0.005545411,-2.290344,-0.093904104,0.2667798
0.454,-0.1095581,-0.003593506,-2.219849,-0.091013809,0.2409385
0.456,-0.004882813,-0.000160156,-2.13562,-0.08756042,0.2150972
0.458,0.08087158,0.002652588,-2.058716,-0.084407356,0.1599174
0.46,0.1385498,0.004544433,-1.961975,-0.080440975,0.1152295
0.462,0.2392578,0.007847656,-1.867371,-0.076562211,0.1284416
0.464,0.3076172,0.010089844,-1.786499,-0.073246459,0.0950228
0.466,0.4046631,0.01327295,-1.698303,-0.069630423,0.06626709
0.468,0.4840088,0.015875489,-1.5979,-0.0655139,0.01730469
0.47,0.5651855,0.018538084,-1.504211,-0.061672651,0.07170736
0.472,0.6460571,0.021190673,-1.410522,-0.057831402,0.041300153
0.474,0.7211304,0.023653077,-1.322937,-0.054240417,0.010892945
0.476,0.791626,0.025965333,-1.240234,-0.050849594,0.01303019
0.478,0.8544922,0.028027344,-1.153564,-0.047296124,0.03634562
0.48,0.9173584,0.030089356,-1.077576,-0.044180616,-0.00547643
0.482,0.965271,0.031660889,-0.9963989,-0.040852355,-0.04729848
0.484,1.005554,0.032982171,-0.9234619,-0.037861938,-0.04797852
0.486,1.073608,0.035214342,-0.8404541,-0.034458618,-0.00095907
0.488,1.162415,0.038127212,-0.7434082,-0.030479736,-0.060656294
0.49,1.246033,0.040869882,-0.6448364,-0.026438292,-0.120353518
0.492,1.35437,0.044423336,-0.5316162,-0.021796264,-0.1563953
0.494,1.427612,0.046825674,-0.4211426,-0.017266847,-0.1979744
0.496,1.527405,0.050098884,-0.3039551,-0.012462159,-0.193408475
0.498,1.610413,0.052821546,-0.189209,-0.007757569,-0.18884255
0.5,1.711121,0.056124769,-0.09613037,-0.003941345,-0.233651906
0.502,1.78772,0.058637216,0.07659912,0.003140564,-0.278461263
0.504,1.863708,0.061129622,0.1852417,0.00759491,-0.299008
0.506,1.947021,0.063862289,0.3131104,0.012837526,-0.2710295
0.508,2.03125,0.066625,0.4272461,0.01751709,-0.2403308
0.51,2.120056,0.069537837,0.5404663,0.022159118,-0.2830758
0.512,2.20459,0.072310552,0.645752,0.026475832,-0.3232949
0.514,2.302551,0.075523673,0.7528687,0.030867617,-0.363514
0.516,2.40448,0.078866944,0.8560181,0.035096742,-0.3955727
0.518,2.487488,0.081589606,0.9671021,0.039651186,-0.4276314
0.52,2.575073,0.084462394,1.078796,0.044230636,-0.4439522
0.522,2.658691,0.087205065,1.193848,0.048947768,-0.4412321
0.524,2.741699,0.089927727,1.305847,0.053539727,-0.4771767
0.526,2.793274,0.091619387,1.434937,0.058832417,-0.5131213
0.528,2.843018,0.09325099,1.544495,0.063324295,-0.50709815
0.53,2.891541,0.094842545,1.650391,0.067666031,-0.501075
0.532,2.933044,0.096203843,1.656494,0.067916254,-0.4886401
0.534,2.89093,0.094822504,1.860962,0.076299442,-0.5253619
0.536,3.01178,0.098786384,1.967163,0.080653683,-0.5620837
0.538,3.057251,0.100277833,2.049866,0.084044506,-0.5733529
0.54,3.108215,0.101949452,2.13501,0.08753541,-0.5659696
0.542,3.149414,0.103300779,2.217407,0.090913687,-0.5710213
0.544,3.193359,0.104742175,2.246704,0.092114864,-0.6262012
0.546,3.238831,0.106233657,2.366028,0.097007148,-0.5881193
0.548,3.277893,0.10751489,2.566528,0.105227648,-0.6331958
0.55,3.290405,0.107925284,2.508545,0.102850345,-0.5947253
0.552,3.372803,0.110627938,2.568359,0.105302719,-0.6141549
0.554,3.406067,0.111718998,2.666321,0.109319161,-0.6487394
0.556,3.453369,0.113270503,2.747192,0.112634872,-0.6930387
0.558,3.485107,0.11431151,2.83844,0.11637604,-0.7163542
0.56,3.512573,0.115212394,2.915649,0.119541609,-0.7190743
0.562,3.5495,0.1164236,3.009644,0.123395404,-0.7043079
0.564,3.587341,0.117664785,3.112488,0.127612008,-0.7105253
0.566,3.607178,0.118315438,3.18634,0.13063994,-0.6841012
0.568,3.673401,0.120487553,3.28064,0.13450624,-0.7361723
0.57,3.721008,0.122049062,3.357239,0.137646799,-0.7936837
0.572,3.773499,0.123770767,3.44696,0.14132536,-0.7567676
0.574,3.825989,0.125492439,3.538208,0.145066528,-0.8016498
0.576,3.885193,0.12743433,3.640747,0.149270627,-0.846532
0.578,3.932495,0.128985836,3.705139,0.151910699,-0.8344857
0.58,3.991394,0.130917723,3.778687,0.154926167,-0.8278796
0.582,4.041138,0.132549326,3.851318,0.157904038,-0.8399259
0.584,4.100952,0.134511226,3.924561,0.160907001,-0.8488635
0.586,4.128113,0.135402106,4.017639,0.164723199,-0.8325427
0.588,4.162903,0.136543218,4.114685,0.168702085,-0.853138
0.59,4.200134,0.137764395,4.202271,0.172293111,-0.902100413
0.592,4.228516,0.138695325,4.300232,0.176309512,-0.951062825
0.594,4.250183,0.139406002,4.411316,0.180863956,-0.9844816
0.596,4.28009,0.140386952,4.5224,0.1854184,-1.0245063
0.598,4.307861,0.141297841,4.616089,0.189259649,-1.064531
0.6,4.320068,0.14169823,4.721985,0.193601385,-1.041993
0.602,4.344177,0.142489006,4.780579,0.196003739,-1.039273
0.604,4.348755,0.142639164,4.909058,0.201271378,-1.031307
0.606,4.378967,0.143630118,4.984436,0.204361876,-1.023341
