,t,θ,dθ,ddθ,w1
233,0.466,1.0388535274661292,3.669049398765869,-7.640595397684941,-0.04640021063306912
234,0.468,1.0461762051126073,3.653558426413357,-7.850058433166591,-0.0428467150747038
235,0.47000000000000003,1.053467483170989,3.6376504563001264,-8.057584584192812,-0.039254061783355325
236,0.47200000000000003,1.060726531553738,3.6213294134797716,-8.263122646791107,-0.03562332070761592
237,0.47400000000000003,1.0679525281255091,3.6045993249253874,-8.466621907520068,-0.03195558391835
238,0.47600000000000003,1.075144658905996,3.5874643185359907,-8.668032155982122,-0.028251965240818102
239,0.47800000000000004,1.0823021182707704,3.569928622118007,-8.867303697212245,-0.02451359987580065
240,0.48,1.089424109150056,3.5519965623421395,-9.06438736393939,-0.020741644009868564
241,0.482,1.0965098432253964,3.533672563675812,-9.25923452871783,-0.016937274414952134
242,0.484,1.1035585411241564,3.514961147291509,-9.451797115925197,-0.01310168803736517
243,0.486,1.110569432611826,3.4958669299512373,-9.642027613624496,-0.009236101576446195
244,0.488,1.1175417567820594,3.4763946228674136,-9.829879085286883,-0.005341751052983301
245,0.49,1.1244747622444202,3.456549030540439,-10.015305181372621,-0.001419891367594344
246,0.492,1.1313677073097743,3.436335049573267,-10.198260150767073,0.0025282041507613392
247,0.494,1.138219860173292,3.4157576674632297,-10.378698852069173,0.006501244205958635
248,0.496,1.145030499095008,3.3948219613714588,-10.556576764729327,0.010497920005384256
249,0.498,1.1517989125779018,3.3735330968701636,-10.731850000034235,0.014516905739926122
250,0.5,1.158524399543447,3.3518963266681103,-10.904475311935748,0.01855685907308004
251,0.502,1.1652062695045946,3.3299169893145857,-11.074410107721205,0.0226164216389748
252,0.504,1.1718438427361377,3.307600507882198,-11.241612458522546,0.02669421954911265
253,0.506,1.1784364504424243,3.284952388628812,-11.4060411096616,0.030788863907617786
254,0.508,1.1849834349223742,3.261978219638963,-11.56765549082911,0.03489895133478171
255,0.51,1.191484149731754,3.23868366944508,-11.726415726094785,0.03902306449868995
